StartDate,EndDate,Status,IPAddress,Progress,Duration,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consentform,years_experience_1,years_experience_2,course_level_1,Q1_timing_First_Click,Q1_timing_Last_Click,Q1_timing_Page_Submit,Q1_timing_Click_Count,Q1_different,Q1_similar,Q2_timing_First_Click,Q2_timing_Last_Click,Q2_timing_Page_Submit,Q2_timing_Click_Count,Q2_different,Q2_similar,Q3_timing_First_Click,Q3_timing_Last_Click,Q3_timing_Page_Submit,Q3_timing_Click_Count,Q3_different,Q3_similar,Q4_timing_First_Click,Q4_timing_Last_Click,Q4_timing_Page_Submit,Q4_timing_Click_Count,Q4_different,Q4_similar,Q5_timing_First_Click,Q5_timing_Last_Click,Q5_timing_Page_Submit,Q5_timing_Click_Count,Q5_different,Q5_similar,Q6_timing_First_Click,Q6_timing_Last_Click,Q6_timing_Page_Submit,Q6_timing_Click_Count,Q6_different,Q6_similar,Q7_timing_First_Click,Q7_timing_Last_Click,Q7_timing_Page_Submit,Q7_timing_Click_Count,Q7_different,Q7_similar,Q37_First_Click,Q37_Last_Click,Q37_Page_Submit,Q37_Click_Count,Q8_different,Q8_similar,Q9_timing_First_Click,Q9_timing_Last_Click,Q9_timing_Page_Submit,Q9_timing_Click_Count,Q9_different,Q9_similar,Q10_timing_First_Click,Q10_timing_Last_Click,Q10_timing_Page_Submit,Q10_timing_Click_Count,Q10_different,Q10_similar,Q11_timing_First_Click,Q11_timing_Last_Click,Q11_timing_Page_Submit,Q11_timing_Click_Count,Q11_different,Q11_similar,Q12_timing_First_Click,Q12_timing_Last_Click,Q12_timing_Page_Submit,Q12_timing_Click_Count,Q12_different,Q12_similar,SC0,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8
2023-04-21_10:40:19,2023-04-21_10:56:07,0,137.146.139.12,100,947,1,2023-04-21_10:56:09,R_eYjuzquGDuybABP,,,,,44.5542,-69.6179,anonymous,EN,1,2,1,1,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,1,,,,,,2,,,,,1,,,,,,1,,,,,,2,,6,3,3,1,1,0,1,2,1
2023-04-21_11:33:09,2023-04-21_11:45:03,0,137.146.127.181,100,713,1,2023-04-21_11:45:03,R_1rctUZIH1e8qIWd,,,,,44.5542,-69.6179,anonymous,EN,1,3,3,3,,,,,2,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,1,,,,,,,4,,,,,1,,,,,,2,,,,,,,1,,,,,,,,,,,2,,4,3,1,0,0,2,0,1,1
2023-04-21_12:11:42,2023-04-21_12:27:07,0,137.146.136.78,100,925,1,2023-04-21_12:27:08,R_24ra8HrwTNua7hw,,,,,44.5542,-69.6179,anonymous,EN,1,0,0,5,,,,,,,,,,,,1,,,,,4,,,,,,,,,,,,,4,,,,,,1,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,1,,4,1,3,0,1,0,1,1,1
2023-04-21_12:08:14,2023-04-21_12:35:31,0,137.146.133.53,100,1637,1,2023-04-21_12:35:32,R_2EhnN1RDmpfNyAP,,,,,44.5542,-69.6179,anonymous,EN,1,1,0.5,1,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,3,,,,,,1,,,,,,,2,,,,,,1,,,,,1,,,,,,2,,7,5,2,1,0,3,0,1,2
2023-04-21_12:03:13,2023-04-21_12:57:31,0,137.146.140.31,100,3258,1,2023-04-21_12:57:33,R_1d0SqeKEZ7SjJuU,,,,,44.5542,-69.6179,anonymous,EN,1,2,2,3,,,,,4,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,1,6,2,4,2,0,0,2,0,2
2023-04-21_12:15:16,2023-04-21_14:24:01,0,137.146.133.143,100,7724,1,2023-04-21_14:24:02,R_D6PdD600aSWZoI1,,,,,42.6191,-70.8589,anonymous,EN,1,0,0,5,,,,,,2,,,,,3,,,,,,,1,,,,,1,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,4,,1,0,1,0,0,0,0,0,1
2023-04-21_11:03:12,2023-04-21_16:30:09,0,137.146.135.85,100,19617,1,2023-04-21_16:30:11,R_323Dc7EsOkuZv5O,,,,,44.5542,-69.6179,anonymous,EN,1,1,1,1,,,,,2,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,4,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,1,,,,,,,,4,2,2,0,1,0,0,2,1
2023-04-21_15:22:40,2023-04-21_16:32:22,0,66.66.230.166,100,4181,1,2023-04-21_16:32:23,R_svv8XD6eSsmOQVj,,,,,44.3233,-69.7687,anonymous,EN,1,40,15,5,,,,,4,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,5,3,2,2,0,1,1,0,1
2023-04-21_20:40:55,2023-04-21_20:43:17,0,174.242.70.100,100,141,1,2023-04-21_20:43:17,R_28BeywDIVglLKYx,,,,,42.3498,-71.0765,anonymous,EN,1,0,0,5,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,2,,,,,,,4,3,1,2,1,0,0,1,0,1
2023-04-23_08:16:07,2023-04-23_08:31:16,0,216.195.188.224,100,909,1,2023-04-23_08:31:17,R_sSyMlISU8KGjDzz,,,,,43.7996,-70.1779,anonymous,EN,1,1.5,1.5,3,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,,,,,,,,,,,,4,,,,,,1,,,,,,,,,,,,2,4,1,3,1,0,0,2,0,1
2023-04-23_13:25:41,2023-04-23_14:18:06,0,137.146.157.118,100,3145,1,2023-04-23_14:18:07,R_2bUyxxxYhPJizxq,,,,,44.5542,-69.6179,anonymous,EN,1,2.5,1,1,,,,,,4,,,,,1,,,,,,4,,,,,,,2,,,,,,,,,,,1,,,,,,3,,,,,,,4,,,,,,3,,,,,,4,,,,,2,,,,,,,2,5,3,2,1,2,2,0,0,0
2023-04-23_14:05:44,2023-04-23_14:21:40,0,137.146.157.118,100,955,1,2023-04-23_14:21:40,R_3g7685t7e87GPX1,,,,,44.5542,-69.6179,anonymous,EN,1,8,3,4,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,5,2,3,0,0,1,2,1,1
2023-04-23_14:44:01,2023-04-23_14:45:05,1,,100,63,1,2023-04-23_14:45:06,R_3kbomm9DNbFFyJW,,,,,44.5542,-69.6179,preview,EN,1,3,2,1,1.048,1.048,2.225,1,,3,2.569,2.569,4.664,1,3,,1.225,1.225,2.398,1,,2,1.75,1.75,3.802,1,,2,1.545,1.545,2.478,1,,3,5.925,5.925,7.258,1,4,,1.894,1.894,2.841,1,1,,0.872,0.872,1.649,1,,4,1.811,1.811,2.72,1,1,,1.657,1.657,2.6,1,4,,1.69,1.69,2.764,1,,1,1.183,1.183,2.2,1,,2,3,0,3,0,2,0,0,0,1
2023-04-23_14:51:57,2023-04-23_15:23:12,0,73.253.123.84,100,1875,1,2023-04-23_15:23:13,R_2cvLutA5QfDRgoa,,,,,42.7826,-71.1029,anonymous,EN,1,7,7,5,,,,,,4,,,,,,,,,,,,4,,,,,2,,,,,,,2,,,,,1,,,,,,3,,,,,,1,,,,,,,2,,,,,1,,,,,,1,,,,,,,1,10,6,4,1,1,3,1,2,2
