,years_experience,python_experience,course_level,Q1_different,Q1_similar,Q2_different,Q2_similar,Q3_different,Q3_similar,Q4_different,Q4_similar,Q5_different,Q5_similar,Q6_different,Q6_similar,Q7_different,Q7_similar,Q8_different,Q8_similar,Q9_different,Q9_similar,Q10_different,Q10_similar,Q11_different,Q11_similar,Q12_different,Q12_similar
0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6.0,6.0,4.0,,1.0,0.0,,,1.0,0.0,,,0.0,,1.0,,0.0,0.0,,0.0,,,1.0,,1.0,,0.0
3,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
4,6.0,4.0,4.0,,,,,,,,0.0,0.0,,,,,,,0.0,,0.0,,0.0,,,0.0,
5,1.5,0.5,1.0,,,,,,,0.0,,,,,,,,1.0,,,,,,,,,
6,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
7,6.0,6.0,4.0,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,,0.0,
8,2.0,1.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,
9,4.0,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
10,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
11,4.0,3.0,3.0,,,,,,,,,,0.0,,,1.0,,,,1.0,,1.0,,,,,
12,2.0,1.0,2.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4.0,1.0,3.0,,,,,,0.0,,,,,,,,,,,,,,,,,,
16,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,
17,4.0,3.0,2.0,,,,,,,,,,,,,,,,,0.0,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,5.0,4.0,3.0,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,0.0,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,5.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,1.0,1.0,,0.0,,,,,,,,,,,1.0,,0.0,,,1.0,,,0.0,,,
24,5.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
25,0.5,0.5,1.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,
26,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,1.0,3.0,,,,,1.0,,,1.0,,0.0,1.0,,,0.0,,1.0,,0.0,,1.0,,0.0,0.0,
30,0.5,0.25,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,
31,4.0,4.0,4.0,,,,,,,,,,,1.0,,,1.0,,1.0,,0.0,,,,,,
32,3.0,2.0,2.0,,0.0,,1.0,,,0.0,,,1.0,,0.0,1.0,,,,0.0,,,,1.0,,0.0,
33,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,1.0,1.0,,0.0,
34,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
35,19.0,19.0,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
36,4.0,4.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
37,12.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
38,3.0,2.0,5.0,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,
39,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,
40,1.5,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
41,7.0,7.0,5.0,,1.0,,,,0.0,1.0,,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,,,1.0
42,3.0,2.0,1.0,,0.0,0.0,,,1.0,,1.0,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,1.0,,0.0
43,8.0,3.0,4.0,,,,0.0,,,,,,1.0,1.0,,,1.0,,,,,,1.0,1.0,,,
44,2.5,1.0,1.0,,1.0,1.0,,0.0,,,1.0,,,1.0,,1.0,,,0.0,,0.0,,0.0,0.0,,,0.0
45,1.5,1.5,3.0,0.0,,1.0,,,,,,,1.0,,,,1.0,,,,0.0,,1.0,,,,0.0
46,3.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
