,years_experience,python_experience,course_level,Q1_different,Q1_similar,Q2_different,Q2_similar,Q3_different,Q3_similar,Q4_different,Q4_similar,Q5_different,Q5_similar,Q6_different,Q6_similar,Q7_different,Q7_similar,Q8_different,Q8_similar,Q9_different,Q9_similar,Q10_different,Q10_similar,Q11_different,Q11_similar,Q12_different,Q12_similar
2,1.0,1.0,1.0,1.0,,0.0,,1.0,,1.0,,,0.0,,,,,,0.0,,,1.0,,,1.0,,0.0
14,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.0,0.0,5.0,,,1.0,,0.0,,,,0.0,,,0.0,,,,1.0,,1.0,,,0.0,,,0.0
48,1.0,0.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,
49,3.5,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
50,40.0,15.0,5.0,1.0,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,1.0,,
51,1.0,1.0,1.0,0.0,,,1.0,,,0.0,,,0.0,0.0,,,,,,,1.0,1.0,,1.0,,,
52,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,
53,1.0,1.0,5.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
54,10.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
55,0.0,0.0,5.0,,0.0,0.0,,,0.0,0.0,,,,0.0,,0.0,,,,0.0,,,1.0,,,0.0,
56,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,
57,2.0,2.0,3.0,1.0,,1.0,,,,,0.0,,,,1.0,,,,1.0,,1.0,,,,,,1.0
58,1.0,0.5,1.0,,0.0,,,,,1.0,,,,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,,0.0,
59,0.0,0.0,5.0,,,,1.0,0.0,,,,,0.0,,1.0,0.0,,0.0,,,,,,,1.0,1.0,
60,1.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,3.0,3.0,0.0,,,,,,,0.0,,,1.0,,,0.0,1.0,,1.0,,,1.0,,,0.0,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,0.0,,1.0,,1.0,1.0,,1.0,,0.0,
