StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent form,years_experience_1,years_experience_2,course_level_1,Q1_timing_First Click,Q1_timing_Last Click,Q1_timing_Page Submit,Q1_timing_Click Count,Q1_different,Q1_similar,Q2_timing_First Click,Q2_timing_Last Click,Q2_timing_Page Submit,Q2_timing_Click Count,Q2_different,Q2_similar,Q3_timing_First Click,Q3_timing_Last Click,Q3_timing_Page Submit,Q3_timing_Click Count,Q3_different,Q3_similar,Q4_timing_First Click,Q4_timing_Last Click,Q4_timing_Page Submit,Q4_timing_Click Count,Q4_different,Q4_similar,Q5_timing_First Click,Q5_timing_Last Click,Q5_timing_Page Submit,Q5_timing_Click Count,Q5_different,Q5_similar,Q6_timing_First Click,Q6_timing_Last Click,Q6_timing_Page Submit,Q6_timing_Click Count,Q6_different,Q6_similar,Q7_timing_First Click,Q7_timing_Last Click,Q7_timing_Page Submit,Q7_timing_Click Count,Q7_different,Q7_similar,Q37_First Click,Q37_Last Click,Q37_Page Submit,Q37_Click Count,Q8_different,Q8_similar,Q9_timing_First Click,Q9_timing_Last Click,Q9_timing_Page Submit,Q9_timing_Click Count,Q9_different,Q9_similar,Q10_timing_First Click,Q10_timing_Last Click,Q10_timing_Page Submit,Q10_timing_Click Count,Q10_different,Q10_similar,Q11_timing_First Click,Q11_timing_Last Click,Q11_timing_Page Submit,Q11_timing_Click Count,Q11_different,Q11_similar,Q12_timing_First Click,Q12_timing_Last Click,Q12_timing_Page Submit,Q12_timing_Click Count,Q12_different,Q12_similar,SC0,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8
5/2/23 10:04,5/2/23 11:04,0,137.146.130.49,2,3638,0,5/9/23 11:11,R_2DSVqMOyntoR0Lf,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
5/2/23 09:57,5/2/23 10:04,0,137.146.130.49,100,393,1,5/2/23 10:04,R_1H2m7tpDgB5ANXy,,,,,44.5542,-69.6179,anonymous,EN,1,6,6,4,3.177,3.177,4.664,1,,4,2.13,2.13,3.397,1,4,,2.348,2.348,4.688,1,,2,2.605,2.605,3.671,1,4,,2.075,2.075,3.119,1,,4,4.019,4.019,5.192,1,,1,1.516,1.516,2.848,1,,1,7.052,7.652,9.226,2,3,,1.994,1.994,3.695,1,3,,5.14,5.14,6.214,1,,1,21.334,21.334,23.021,1,,1,2.77,2.77,4.318,1,,4,5,0,5,0,2,0,1,0,2
4/19/23 12:09,5/2/23 09:57,0,137.146.130.49,100,1115273,1,5/2/23 09:57,R_1LcZcm1IflNJVee,,,,,44.5542,-69.6179,anonymous,EN,1,1,1,1,,,,,4,,,,,,2,,,,,,2,,,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,1,,,,,,4,5,4,1,3,0,0,0,1,1
4/29/23 10:12,4/29/23 10:13,0,137.146.248.238,10,49,0,5/6/23 10:13,R_1IFA32CPNQ1Tz0j,,,,,,,anonymous,EN,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
4/26/23 14:17,4/28/23 22:01,0,73.107.244.15,54,200639,0,5/5/23 22:01,R_3IYpcvIpD57042v,,,,,,,anonymous,EN,1,6,4,4,,,,,,,,,,,,,,,,,,,12.572,252.365,253.156,38,,4,1.031,147.922,149.356,22,1,,,,,,,,,,,,,,14.772,115.692,116.549,12,,3,2.535,177.575,178.22,40,,3,0.605,95.659,96.801,10,,4,,,,,,,0.903,113.742,113.775,29,2,,0,0,0,0,0,0,0,0,0
4/28/23 19:47,4/28/23 19:56,0,137.146.132.52,24,535,0,5/5/23 19:56,R_3fpbdwoFpafdERJ,,,,,,,anonymous,EN,1,1.5,0.5,1,,,,,,,,,,,,,,,,,,,3.346,382.392,382.423,14,1,,,,,,,,,,,,,,,,,,,,1.506,85.498,86.225,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,0
4/28/23 19:06,4/28/23 19:08,0,137.146.125.178,10,131,0,5/5/23 19:08,R_1mOUoPT7e3hESjr,,,,,,,anonymous,EN,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
4/28/23 16:58,4/28/23 18:26,0,137.146.128.109,100,5257,1,4/28/23 18:26,R_1d7hcLb7u4xGIkt,,,,,44.5542,-69.6179,anonymous,EN,1,6,6,4,56.411,56.411,99.103,1,4,,136.628,136.628,149.409,1,,1,128.999,128.999,146.747,1,,2,369.407,371.651,373.171,3,,2,314.803,314.803,539.935,1,2,,58.928,58.928,105.71,1,1,,54.274,54.274,65.546,1,,3,47.475,47.475,53.23,1,,1,340.64,375.718,398.842,2,2,,77.12,77.12,103.427,1,1,,304.265,304.265,384.601,1,1,,9.123,152.711,169.483,2,2,,11,6,5,1,3,2,2,3,0
4/28/23 14:08,4/28/23 14:11,0,137.146.138.47,10,179,0,5/5/23 14:11,R_3M38ScC4R4rYkjg,,,,,,,anonymous,EN,1,2,1.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
4/28/23 12:09,4/28/23 12:50,0,137.146.127.178,17,2499,0,5/5/23 12:50,R_2fv43vtIpbbflOH,,,,,,,anonymous,EN,1,4,2,2,,,,,,,132.619,132.619,133.8,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,0
