,identifier,total,rate
0,self,167051,0.07574291543867603
1,np,117180,0.05313080934028565
2,x,56763,0.0257370210836545
3,result,33716,0.015287236454318748
4,expected,29251,0.013262752210383134
5,a,28186,0.012779868510541827
6,pytest,24537,0.011125368397188846
7,y,22821,0.010347313534345953
8,df,22238,0.010082974382226252
9,tm,19712,0.008937655860349128
10,valueerror,15063,0.0068297438222625255
11,n,14805,0.006712763545681251
12,i,14482,0.006566311493992292
13,data,13907,0.006305599637270461
14,ax,13816,0.0062643391521197
15,b,13436,0.006092042620720925
16,len,13216,0.005992291997279528
17,assert_equal,12572,0.005700294717751077
18,msg,11866,0.005380185898889141
19,s,10740,0.004869644071639084
20,dataframe,10438,0.004732713670369531
21,res,10400,0.004715484017229653
22,f,10357,0.004695987304466107
23,c,10277,0.004659714350487417
24,models,10200,0.004624801632282929
25,index,9664,0.004381772840625709
26,pd,9322,0.00422670596236681
27,str,9287,0.0042108365450011336
28,series,9129,0.004139197460893222
29,isinstance,9126,0.004137837225119021
30,name,8456,0.003834051235547495
31,dtype,8441,0.0038272500566764907
32,k,8232,0.003732486964407164
33,plt,8033,0.0036422579913851735
34,p,8029,0.003640444343686239
35,range,7950,0.003604624801632283
36,list,7912,0.003587395148492405
37,datetime,7497,0.0033992291997279526
38,m,7483,0.003392881432781682
39,obj,6986,0.003167535706189073
40,assert_allclose,6911,0.0031335298118340513
41,arr,6803,0.00308456132396282
42,value,6702,0.0030387667195647247
43,t,6551,0.002970301518929948
44,d,6484,0.002939922919972795
45,r,6450,0.002924506914531852
46,int,6110,0.002770346860122421
47,path,5953,0.002699161187939243
48,kwargs,5851,0.0026529131716164136
49,idx,5709,0.0025885286783042393
50,args,5615,0.002545907957379279
51,typeerror,5513,0.0024996599410564498
52,response,5477,0.0024833371117660395
53,v,5449,0.002470641577873498
54,fig,5331,0.002417138970754931
55,assert_array_equal,5327,0.0024153253230559963
56,assert_,5285,0.0023962820222171843
57,rng,5269,0.0023890274314214465
58,values,4958,0.0022480163228292905
59,z,4872,0.002209022897302199
60,other,4840,0.0021945137157107233
61,out,4805,0.0021786442983450466
62,ser,4719,0.002139650872817955
63,axis,4678,0.0021210609839038765
64,bool,4618,0.0020938562684198595
65,assert_raises,4616,0.0020929494445703924
66,cls,4434,0.002010428474268873
67,assert_array_almost_equal,4418,0.0020031738834731354
68,key,4268,0.0019351620947630924
69,os,4156,0.0018843799591929267
70,output,4151,0.0018821128995692587
71,stats,4060,0.0018408524144184991
72,request,3951,0.0017914305146225346
73,_,3905,0.001770573566084788
74,w,3860,0.0017501700294717752
75,getattr,3759,0.0017043754250736795
76,array,3742,0.001696667422353208
77,j,3593,0.0016291090455678985
78,super,3534,0.001602357742008615
79,q,3495,0.0015846746769440036
80,exp,3410,0.001546134663341646
81,dt,3401,0.0015420539560190433
82,float,3396,0.0015397868963953753
83,timestamp,3273,0.0014840172296531398
84,clf,3260,0.0014781228746316027
85,type,3171,0.0014377692133303106
86,object,3151,0.0014287009748356382
87,func,3134,0.0014209929721151666
88,connection,3092,0.0014019496712763546
89,n_samples,3090,0.0014010428474268873
90,mask,3079,0.0013960553162548175
91,assert_almost_equal,3068,0.0013910677850827477
92,field,3008,0.0013638630695987305
93,method,2943,0.0013343912944910451
94,dict,2872,0.001302199047834958
95,val,2738,0.001241441849920653
96,e,2656,0.001204262072092496
97,print,2641,0.0011974608932214918
98,tuple,2620,0.0011879392428020858
99,model,2577,0.00116844253003854
100,parser,2567,0.0011639084107912037
101,h,2515,0.0011403309907050555
102,left,2432,0.001102697800952165
103,u,2364,0.001071865790070279
104,zip,2298,0.00104194060303786
105,sys,2264,0.0010265245975969168
106,right,2255,0.0010224438902743142
107,params,2214,0.0010038540013602357
108,hasattr,2184,0.0009902516436182272
109,ts,2106,0.0009548855134890047
110,multiindex,2031,0.0009208796191339832
111,qs,1993,0.0009036499659941056
112,property,1968,0.0008923146678757652
113,estimator,1936,0.0008778054862842893
114,col,1928,0.0008741781908864204
115,alpha,1921,0.0008710043074132849
116,x1,1900,0.0008614826569938789
117,editor,1899,0.0008610292450691453
118,line,1862,0.0008442530038540013
119,test,1852,0.0008397188846066652
120,warnings,1847,0.0008374518249829971
121,author,1843,0.0008356381772840625
122,date_range,1839,0.0008338245295851281
123,actual,1831,0.0008301972341872592
124,x0,1808,0.0008197687599183858
125,df2,1797,0.000814781228746316
126,n_features,1785,0.0008093402856495126
127,axes,1748,0.0007925640444343687
128,form,1746,0.0007916572205849013
129,info,1733,0.0007857628655633643
130,timedelta,1732,0.0007853094536386307
131,op,1731,0.0007848560417138971
132,numpy,1724,0.0007816821582407618
133,shape,1713,0.0007766946270686919
134,labels,1691,0.0007667195647245523
135,x2,1687,0.0007649059170256177
136,message,1659,0.0007522103831330764
137,size,1654,0.0007499433235094083
138,vals,1637,0.0007422353207889367
139,loc,1592,0.0007218317841759238
140,g,1592,0.0007218317841759238
141,repr,1588,0.0007200181364769893
142,y_pred,1579,0.0007159374291543868
143,td,1566,0.0007100430741328496
144,start,1556,0.0007055089548855135
145,axs,1550,0.0007027884833371117
146,y_true,1546,0.0007009748356381773
147,enumerate,1538,0.0006973475402403083
148,app,1512,0.0006855588301972342
149,set,1492,0.0006764905917025618
150,re,1489,0.0006751303559283609
151,random,1465,0.000664248469734754
152,row,1459,0.0006615279981863523
153,l,1446,0.0006556336431648152
154,sample_weight,1444,0.000654726819315348
155,arg,1426,0.0006465654046701429
156,ax1,1378,0.0006248016322829291
157,book,1371,0.0006216277488097937
158,interval,1366,0.0006193606891861256
159,est,1363,0.0006180004534119247
160,columns,1356,0.0006148265699387894
161,user,1355,0.0006143731580140558
162,slice,1346,0.0006102924506914531
163,scale,1342,0.0006084788029925187
164,names,1337,0.0006062117433688506
165,indices,1300,0.0005894355021537067
166,item,1299,0.000588982090228973
167,x_test,1298,0.0005885286783042394
168,err,1293,0.0005862616186805713
169,override_settings,1280,0.0005803672636590342
170,event,1274,0.0005776467921106325
171,ret,1267,0.0005744729086374972
172,target,1266,0.0005740194967127635
173,base,1258,0.0005703922013148946
174,engine,1253,0.0005681251416912265
175,tz,1238,0.0005613239628202222
176,random_state,1229,0.0005572432554976196
177,frame,1223,0.0005545227839492178
178,categorical,1218,0.0005522557243255497
179,y1,1215,0.0005508954885513489
180,indexer,1212,0.000549535252777148
181,notimplementederror,1210,0.0005486284289276808
182,store,1195,0.0005418272500566765
183,article,1193,0.0005409204262072092
184,options,1175,0.0005327590115620041
185,app_label,1171,0.0005309453638630696
186,x_train,1169,0.0005300385400136023
187,text,1168,0.0005295851280888688
188,sc,1165,0.0005282248923146679
189,period,1163,0.0005273180684652007
190,desired,1163,0.0005273180684652007
191,mpl,1147,0.0005200634776694627
192,context,1145,0.0005191566538199954
193,max,1135,0.0005146225345726593
194,iris,1135,0.0005146225345726593
195,abs,1134,0.0005141691226479256
196,reverse,1130,0.0005123554749489912
197,dti,1122,0.0005087281795511222
198,operator,1113,0.0005046474722285196
199,df1,1111,0.0005037406483790524
200,stringio,1105,0.0005010201768306506
201,ax2,1104,0.0005005667649059171
202,norm,1104,0.0005005667649059171
203,exception,1104,0.0005005667649059171
204,offset,1099,0.000498299705282249
205,keyerror,1094,0.0004960326456585808
206,copy,1088,0.0004933121741101791
207,special,1084,0.0004914985264112446
208,sql,1082,0.0004905917025617774
209,tgt,1074,0.00048696440716390843
210,freq,1066,0.00048333711176603943
211,mode,1061,0.00048107005214237137
212,a1,1051,0.00047653593289503514
213,pi,1044,0.0004733620494218998
214,filename,1041,0.0004720018136476989
215,cursor,1034,0.00046882793017456357
216,s2,1033,0.00046837451824982996
217,time,1031,0.00046746769440036273
218,setup,1021,0.0004629335751530265
219,table,1021,0.0004629335751530265
220,label,1017,0.00046111992745409206
221,nat,1017,0.00046111992745409206
222,url,1012,0.00045885286783042394
223,migrations,1011,0.00045839945590569033
224,attributeerror,999,0.0004529585128088869
225,settings,993,0.00045023804126048515
226,any,992,0.00044978462933575154
227,person,988,0.00044797098163681703
228,classmethod,987,0.0004475175697120834
229,ind,981,0.0004447970981636817
230,order,974,0.00044162321469054636
231,sorted,968,0.00043890274314214463
232,dist,965,0.0004375425073679438
233,s1,963,0.0004366356835184765
234,formset,961,0.0004357288596690093
235,y2,956,0.0004334618000453412
236,bounds,954,0.00043255497619587395
237,__all__,954,0.00043255497619587395
238,sup,937,0.0004248469734754024
239,n_components,936,0.00042439356155066877
240,state,936,0.00042439356155066877
241,datetimeindex,933,0.00042303332577646794
242,project_state,929,0.00042121967807753343
243,open,924,0.0004189526184538653
244,operation,915,0.00041487191113126276
245,results,905,0.0004103377918839265
246,errors,903,0.0004094309680344593
247,fill_value,902,0.0004089775561097257
248,count,900,0.00040807073226025847
249,tol,897,0.0004067104964860576
250,fields,896,0.00040625708456132396
251,o,893,0.00040489684878712313
252,decimal,892,0.00040444343686238946
253,end,891,0.00040399002493765585
254,y_train,886,0.00040172296531398773
255,ndimage,873,0.00039582861029245067
256,simpletestcase,870,0.00039446837451824983
257,kind,869,0.0003940149625935162
258,float_frame,869,0.0003940149625935162
259,node,865,0.0003922013148945817
260,validationerror,865,0.0003922013148945817
261,level,861,0.00039038766719564727
262,cat,855,0.00038766719564724554
263,changes,850,0.00038540013602357743
264,eps,849,0.0003849467240988438
265,solver,843,0.0003822262525504421
266,weights,842,0.0003817728406257085
267,lib,829,0.0003758784856041714
268,points,828,0.00037542507367943775
269,width,825,0.0003740648379052369
270,c1,819,0.0003713443663568352
271,input,817,0.00037043754250736796
272,assertionerror,817,0.00037043754250736796
273,min,816,0.00036998413058263435
274,template,813,0.00036862389480843346
